,Unnamed: 0,t,DF(t),MarketRate,P,V,PD,PS
10035,10035,28662.916666666668,1.0104019968156386,-0.498,1.016961574041983,-5082.621975779007,0.0009765625,0.9990234375
10036,10036,28663.916666666668,1.0104074283567959,-0.498,1.0169609210435089,-5083.125158678328,0.0009765625,0.9990234375
10037,10037,28664.916666666668,1.0104128599271518,-0.498,1.016960268716241,-5083.628344282572,0.0009765625,0.9990234375
10038,10038,28665.916666666668,1.010418291526705,-0.498,1.0169596170599813,-5084.131532591752,0.0009765625,0.9990234375
10039,10039,28666.916666666668,1.0104237231554571,-0.498,1.0169589660745326,-5084.634723605884,0.0009765625,0.9990234375
10040,10040,28667.916666666668,1.010429154813407,-0.498,1.0169583157596975,-5085.137917324981,0.0009765625,0.9990234375
10041,10041,28668.916666666668,1.0104345865005555,-0.498,1.0169576661152782,-5085.641113749058,0.0009765625,0.9990234375
10042,10042,28669.916666666668,1.0104400182169029,-0.498,1.0169570171410773,-5086.144312878129,0.0009765625,0.9990234375
10043,10043,28670.916666666668,1.0104454499624491,-0.498,1.0169563688368979,-5086.647514712211,0.0009765625,0.9990234375
10044,10044,28671.916666666668,1.0104508817371944,-0.498,1.0169557212025424,-5087.150719251316,0.0009765625,0.9990234375
10045,10045,28672.916666666668,1.0104563135411389,-0.498,1.0169550742378142,-5087.65392649546,0.0009765625,0.9990234375
10046,10046,28673.916666666668,1.0104617453742826,-0.498,1.0169544279425156,-5088.157136444656,0.0009765625,0.9990234375
10047,10047,28674.916666666668,1.010467177236626,-0.498,1.0169537823164503,-5088.66034909892,0.0009765625,0.9990234375
10048,10048,28675.916666666668,1.0104726091281688,-0.498,1.016953137359421,-5089.163564458266,0.0009765625,0.9990234375
10049,10049,28676.916666666668,1.0104780410489116,-0.498,1.0169524930712308,-5089.666782522708,0.0009765625,0.9990234375
10050,10050,28677.916666666668,1.010483472998854,-0.498,1.0169518494516834,-5090.170003292261,0.0009765625,0.9990234375
10051,10051,28678.916666666668,1.010488904977997,-0.498,1.0169512065005817,-5090.6732267669395,0.0009765625,0.9990234375
10052,10052,28679.916666666668,1.0104943369863402,-0.498,1.0169505642177292,-5091.176452946759,0.0009765625,0.9990234375
10053,10053,28680.916666666668,1.0104997690238835,-0.498,1.0169499226029297,-5091.679681831733,0.0009765625,0.9990234375
10054,10054,28681.916666666668,1.0105052010906277,-0.498,1.0169492816559869,-5092.182913421877,0.0009765625,0.9990234375
10055,10055,28682.916666666668,1.0105106331865727,-0.498,1.016948641376704,-5092.686147717204,0.0009765625,0.9990234375
10056,10056,28683.916666666668,1.0105160653117182,-0.498,1.0169480017648846,-5093.18938471773,0.0009765625,0.9990234375
10057,10057,28684.916666666668,1.0105214974660652,-0.498,1.0169473628203332,-5093.692624423468,0.0009765625,0.9990234375
10058,10058,28685.916666666668,1.010526929649613,-0.498,1.0169467245428532,-5094.195866834434,0.0009765625,0.9990234375
10059,10059,28686.916666666668,1.0105323618623627,-0.498,1.0169460869322489,-5094.699111950642,0.0009765625,0.9990234375
10060,10060,28687.916666666668,1.0105377941043137,-0.498,1.016945449988324,-5095.202359772106,0.0009765625,0.9990234375
10061,10061,28688.916666666668,1.0105432263754663,-0.498,1.0169448137108827,-5095.705610298842,0.0009765625,0.9990234375
10062,10062,28689.916666666668,1.0105486586758206,-0.498,1.0169441780997295,-5096.208863530862,0.0009765625,0.9990234375
10063,10063,28690.916666666668,1.0105540910053772,-0.498,1.0169435431546685,-5096.712119468182,0.0009765625,0.9990234375
10064,10064,28691.916666666668,1.010559523364136,-0.498,1.016942908875504,-5097.215378110817,0.0009765625,0.9990234375
10065,10065,28692.916666666668,1.010564955752097,-0.498,1.0169422752620405,-5097.718639458782,0.0009765625,0.9990234375
10066,10066,28693.916666666668,1.0105703881692605,-0.498,1.0169416423140827,-5098.22190351209,0.0009765625,0.9990234375
10067,10067,28694.916666666668,1.0105758206156263,-0.498,1.0169410100314347,-5098.725170270756,0.0009765625,0.9990234375
10068,10068,28695.916666666668,1.0105812530911953,-0.498,1.0169403784139017,-5099.228439734796,0.0009765625,0.9990234375
10069,10069,28696.916666666668,1.0105866855959669,-0.498,1.0169397474612882,-5099.731711904223,0.0009765625,0.9990234375
10070,10070,28697.916666666668,1.010592118129942,-0.498,1.016939117173399,-5100.234986779052,0.0009765625,0.9990234375
10071,10071,28698.916666666668,1.0105975506931202,-0.498,1.0169384875500391,-5100.738264359297,0.0009765625,0.9990234375
10072,10072,28699.916666666668,1.0106029832855017,-0.498,1.0169378585910136,-5101.241544644973,0.0009765625,0.9990234375
10073,10073,28700.916666666668,1.010608415907087,-0.498,1.0169372302961275,-5101.744827636095,0.0009765625,0.9990234375
10074,10074,28701.916666666668,1.0106138485578755,-0.498,1.0169366026651856,-5102.248113332676,0.0009765625,0.9990234375
10075,10075,28702.916666666668,1.0106192812378685,-0.498,1.0169359756979937,-5102.751401734733,0.0009765625,0.9990234375
10076,10076,28703.916666666668,1.0106247139470652,-0.498,1.0169353493943565,-5103.254692842279,0.0009765625,0.9990234375
10077,10077,28704.916666666668,1.0106301466854666,-0.498,1.0169347237540798,-5103.757986655328,0.0009765625,0.9990234375
10078,10078,28705.916666666668,1.0106355794530717,-0.498,1.0169340987769686,-5104.261283173895,0.0009765625,0.9990234375
10079,10079,28706.916666666668,1.0106410122498817,-0.498,1.0169334744628291,-5104.764582397996,0.0009765625,0.9990234375
10080,10080,28707.916666666668,1.0106464450758963,-0.498,1.0169328508114666,-5105.2678843276435,0.0009765625,0.9990234375
10081,10081,28708.916666666668,1.0106518779311158,-0.498,1.0169322278226864,-5105.771188962854,0.0009765625,0.9990234375
